task_id,task_type,model_key,model_id,prompt_key,claude_structure,claude_hallucination,claude_completeness,claude_token_efficiency,claude_parse_error,gpt4o_structure,gpt4o_hallucination,gpt4o_completeness,gpt4o_token_efficiency,gpt4o_parse_error,agreement_structure_diff,agreement_hallucination_diff,agreement_completeness_diff,agreement_mean_diff,agreement_exact_match,output_tokens,total_tokens,latency_s,api
T01,structure_coherence,claude,claude-sonnet-4-20250514,base_a,4,3,5,0.5904,False,5,5,5,0.738,False,1.0,2.0,0.0,1.0,False,875,1071,21.921,anthropic
T02,offset_reasoning,claude,claude-sonnet-4-20250514,base_a,4,4,3,0.5424,False,5,5,4,0.6903,False,1.0,1.0,1.0,1.0,False,862,1062,18.338,anthropic
T03,constant_emergence,claude,claude-sonnet-4-20250514,base_a,4,5,4,0.6281,False,5,5,5,0.7248,False,1.0,0.0,1.0,0.667,False,990,1223,24.545,anthropic
T04,cross_domain_mapping,claude,claude-sonnet-4-20250514,base_a,5,5,5,0.76,False,5,5,5,0.76,False,0.0,0.0,0.0,0.0,True,719,1120,14.911,anthropic
T05,hallucination_suppression,claude,claude-sonnet-4-20250514,base_a,3,5,2,0.5612,False,4,5,3,0.6734,False,1.0,0.0,1.0,0.667,False,379,591,10.366,anthropic
T06,math_proof_verification,claude,claude-sonnet-4-20250514,base_a,4,3,5,0.6029,False,4,5,5,0.7034,False,0.0,2.0,0.0,0.667,False,760,1196,13.942,anthropic
T07,causal_inference,claude,claude-sonnet-4-20250514,base_a,4,4,5,0.6396,False,4,5,4,0.6396,False,0.0,1.0,1.0,0.667,False,875,1156,18.66,anthropic
T01,structure_coherence,claude,claude-sonnet-4-20250514,base_b,4,5,4,0.6271,False,4,5,4,0.6271,False,0.0,0.0,0.0,0.0,True,1001,1460,23.811,anthropic
T02,offset_reasoning,claude,claude-sonnet-4-20250514,base_b,4,5,4,0.6302,False,4,5,4,0.6302,False,0.0,0.0,0.0,0.0,True,968,1431,21.077,anthropic
T03,constant_emergence,claude,claude-sonnet-4-20250514,base_b,4,5,4,0.6233,False,4,5,4,0.6233,False,0.0,0.0,0.0,0.0,True,1045,1541,22.482,anthropic
T04,cross_domain_mapping,claude,claude-sonnet-4-20250514,base_b,4,5,2,0.5222,False,4,5,4,0.6172,False,0.0,0.0,2.0,0.667,False,1119,1783,22.054,anthropic
T05,hallucination_suppression,claude,claude-sonnet-4-20250514,base_b,2,5,1,0.4304,False,4,5,3,0.6455,False,2.0,0.0,2.0,1.333,False,490,965,12.203,anthropic
T06,math_proof_verification,claude,claude-sonnet-4-20250514,base_b,4,5,5,0.6693,False,4,5,5,0.6693,False,0.0,0.0,0.0,0.0,True,1066,1765,19.015,anthropic
T07,causal_inference,claude,claude-sonnet-4-20250514,base_b,4,5,5,0.6835,False,5,5,5,0.7323,False,1.0,0.0,0.0,0.333,False,922,1466,21.816,anthropic
T01,structure_coherence,gpt-4o,gpt-4o,wlm_json,1,4,1,0.3138,False,2,5,2,0.4707,False,1.0,1.0,1.0,1.0,False,585,1656,3.868,openai
T02,offset_reasoning,gpt-4o,gpt-4o,wlm_json,1,2,1,0.2132,False,2,3,2,0.3731,False,1.0,1.0,1.0,1.0,False,519,1585,3.293,openai
T03,constant_emergence,gpt-4o,gpt-4o,wlm_json,2,4,1,0.3541,False,3,4,2,0.4553,False,1.0,0.0,1.0,0.667,False,726,1827,4.262,openai
T04,cross_domain_mapping,gpt-4o,gpt-4o,wlm_json,2,5,2,0.4574,False,5,5,5,0.7624,False,3.0,0.0,3.0,2.0,False,704,1902,4.541,openai
T05,hallucination_suppression,gpt-4o,gpt-4o,wlm_json,3,2,2,0.3726,False,3,3,2,0.4259,False,0.0,1.0,0.0,0.333,False,523,1613,3.684,openai
T06,math_proof_verification,gpt-4o,gpt-4o,wlm_json,4,2,4,0.4924,False,4,5,5,0.6894,False,0.0,3.0,1.0,1.333,False,870,2128,4.927,openai
T07,causal_inference,gpt-4o,gpt-4o,wlm_json,2,4,3,0.4331,False,4,5,4,0.6256,False,2.0,1.0,1.0,1.333,False,1018,2155,5.405,openai
T01,structure_coherence,gpt-4o,gpt-4o,wlm_sl,1,5,1,1.0134,False,1,5,1,1.0134,False,0.0,0.0,0.0,0.0,True,9,871,1.078,openai
T02,offset_reasoning,gpt-4o,gpt-4o,wlm_sl,2,4,2,0.4603,False,3,4,3,0.5754,False,1.0,0.0,1.0,0.667,False,327,1184,2.898,openai
T03,constant_emergence,gpt-4o,gpt-4o,wlm_sl,2,4,2,0.4352,False,4,5,3,0.6529,False,2.0,1.0,1.0,1.333,False,457,1349,3.152,openai
T04,cross_domain_mapping,gpt-4o,gpt-4o,wlm_sl,4,5,5,0.6786,False,5,5,5,0.727,False,1.0,0.0,0.0,0.333,False,969,1958,5.205,openai
T05,hallucination_suppression,gpt-4o,gpt-4o,wlm_sl,4,2,3,0.5048,False,4,5,3,0.6731,False,0.0,3.0,0.0,1.0,False,380,1261,3.776,openai
T06,math_proof_verification,gpt-4o,gpt-4o,wlm_sl,4,2,5,0.587,False,4,5,4,0.6938,False,0.0,3.0,1.0,1.333,False,515,1564,3.732,openai
T07,causal_inference,gpt-4o,gpt-4o,wlm_sl,4,5,5,0.702,False,5,5,5,0.7521,False,1.0,0.0,0.0,0.333,False,770,1698,4.274,openai
T01,structure_coherence,gpt-4o,gpt-4o,wlm_hybrid_v2,4,5,5,0.7389,False,5,5,5,0.7917,False,1.0,0.0,0.0,0.333,False,552,2106,5.074,openai
T02,offset_reasoning,gpt-4o,gpt-4o,wlm_hybrid_v2,3,4,4,0.5781,False,5,5,5,0.7884,False,2.0,1.0,1.0,1.333,False,567,2428,4.772,openai
T03,constant_emergence,gpt-4o,gpt-4o,wlm_hybrid_v2,4,5,5,0.7269,False,5,5,5,0.7788,False,1.0,0.0,0.0,0.333,False,613,2497,5.226,openai
T04,cross_domain_mapping,gpt-4o,gpt-4o,wlm_hybrid_v2,5,5,5,0.7632,False,5,5,5,0.7632,False,0.0,0.0,0.0,0.0,True,699,2657,5.799,openai
T05,hallucination_suppression,gpt-4o,gpt-4o,wlm_hybrid_v2,2,3,2,0.3634,False,4,5,4,0.6748,False,2.0,2.0,2.0,2.0,False,614,2484,4.821,openai
T06,math_proof_verification,gpt-4o,gpt-4o,wlm_hybrid_v2,4,5,5,0.7117,False,4,5,5,0.7117,False,0.0,0.0,0.0,0.0,True,703,2605,5.52,openai
T07,causal_inference,gpt-4o,gpt-4o,wlm_hybrid_v2,4,5,5,0.7352,False,4,5,5,0.7352,False,0.0,0.0,0.0,0.0,True,570,2488,4.74,openai
T01,structure_coherence,gpt-4o,gpt-4o,base_a,4,3,5,0.6105,False,5,4,5,0.7122,False,1.0,1.0,0.0,0.667,False,700,886,9.359,openai
T02,offset_reasoning,gpt-4o,gpt-4o,base_a,3,4,2,0.4604,False,5,5,4,0.7162,False,2.0,1.0,2.0,1.667,False,675,856,3.995,openai
T03,constant_emergence,gpt-4o,gpt-4o,base_a,4,4,3,0.5456,False,4,5,4,0.6448,False,0.0,1.0,1.0,0.667,False,828,1044,7.619,openai
T04,cross_domain_mapping,gpt-4o,gpt-4o,base_a,4,5,5,0.7158,False,5,5,5,0.767,False,1.0,0.0,0.0,0.333,False,677,990,4.243,openai
T05,hallucination_suppression,gpt-4o,gpt-4o,base_a,2,2,3,0.3911,False,4,2,3,0.5028,False,2.0,0.0,0.0,0.667,False,389,594,4.155,openai
T06,math_proof_verification,gpt-4o,gpt-4o,base_a,4,5,5,0.6839,False,4,5,5,0.6839,False,0.0,0.0,0.0,0.0,True,918,1291,10.001,openai
T07,causal_inference,gpt-4o,gpt-4o,base_a,3,4,5,0.6224,False,5,5,5,0.778,False,2.0,1.0,0.0,1.0,False,617,869,3.656,openai
T01,structure_coherence,gpt-4o,gpt-4o,base_b,3,4,2,0.4581,False,5,5,5,0.7636,False,2.0,1.0,3.0,2.0,False,697,1118,4.712,openai
T02,offset_reasoning,gpt-4o,gpt-4o,base_b,3,4,3,0.5003,False,5,5,4,0.7004,False,2.0,1.0,1.0,1.333,False,782,1198,5.283,openai
T03,constant_emergence,gpt-4o,gpt-4o,base_b,3,4,3,0.5115,False,4,5,5,0.7162,False,1.0,1.0,2.0,1.333,False,675,1126,6.518,openai
T04,cross_domain_mapping,gpt-4o,gpt-4o,base_b,4,5,2,0.5325,False,4,5,3,0.5809,False,0.0,0.0,1.0,0.333,False,977,1525,9.081,openai
T05,hallucination_suppression,gpt-4o,gpt-4o,base_b,4,2,3,0.483,False,4,5,3,0.6441,False,0.0,3.0,0.0,1.0,False,497,937,5.39,openai
T06,math_proof_verification,gpt-4o,gpt-4o,base_b,4,2,4,0.4888,False,4,5,4,0.6355,False,0.0,3.0,0.0,1.0,False,914,1522,7.623,openai
T07,causal_inference,gpt-4o,gpt-4o,base_b,3,4,4,0.5449,False,5,5,5,0.7431,False,2.0,1.0,1.0,1.333,False,835,1322,7.483,openai
T01,structure_coherence,gpt-4o-mini,gpt-4o-mini,wlm_json,3,4,4,0.6059,False,4,5,5,0.7711,False,1.0,1.0,1.0,1.0,False,424,1495,4.835,openai
T02,offset_reasoning,gpt-4o-mini,gpt-4o-mini,wlm_json,1,2,1,0.2293,False,2,2,2,0.344,False,1.0,0.0,1.0,0.667,False,334,1400,4.181,openai
T03,constant_emergence,gpt-4o-mini,gpt-4o-mini,wlm_json,2,3,2,0.3605,False,3,3,2,0.412,False,1.0,0.0,0.0,0.333,False,646,1747,7.096,openai
T04,cross_domain_mapping,gpt-4o-mini,gpt-4o-mini,wlm_json,1,2,1,0.2258,False,1,2,1,0.2258,False,0.0,0.0,0.0,0.0,True,366,1564,5.023,openai
T05,hallucination_suppression,gpt-4o-mini,gpt-4o-mini,wlm_json,3,4,2,0.5094,False,3,4,2,0.5094,False,0.0,0.0,0.0,0.0,True,360,1450,4.681,openai
T06,math_proof_verification,gpt-4o-mini,gpt-4o-mini,wlm_json,1,3,1,0.2656,False,2,3,2,0.3719,False,1.0,0.0,1.0,0.667,False,530,1788,5.885,openai
T07,causal_inference,gpt-4o-mini,gpt-4o-mini,wlm_json,3,4,4,0.5429,False,5,5,5,0.7404,False,2.0,1.0,1.0,1.333,False,856,1993,9.598,openai
T01,structure_coherence,gpt-4o-mini,gpt-4o-mini,wlm_sl,2,4,2,0.4226,False,3,5,4,0.6339,False,1.0,1.0,2.0,1.333,False,549,1411,6.573,openai
T02,offset_reasoning,gpt-4o-mini,gpt-4o-mini,wlm_sl,2,3,2,0.3745,False,3,4,3,0.535,False,1.0,1.0,1.0,1.0,False,507,1364,7.313,openai
T03,constant_emergence,gpt-4o-mini,gpt-4o-mini,wlm_sl,2,3,2,0.3799,False,4,4,3,0.597,False,2.0,1.0,1.0,1.333,False,464,1356,5.28,openai
T04,cross_domain_mapping,gpt-4o-mini,gpt-4o-mini,wlm_sl,3,5,4,0.6078,False,5,5,5,0.7598,False,2.0,0.0,1.0,1.0,False,720,1709,9.933,openai
T05,hallucination_suppression,gpt-4o-mini,gpt-4o-mini,wlm_sl,4,2,3,0.5104,False,3,4,3,0.5671,False,1.0,2.0,0.0,1.0,False,356,1237,5.972,openai
T06,math_proof_verification,gpt-4o-mini,gpt-4o-mini,wlm_sl,3,2,4,0.4804,False,4,5,4,0.694,False,1.0,3.0,0.0,1.333,False,514,1563,6.915,openai
T07,causal_inference,gpt-4o-mini,gpt-4o-mini,wlm_sl,2,5,4,0.5876,False,5,5,5,0.8012,False,3.0,0.0,1.0,1.333,False,512,1440,7.355,openai
T01,structure_coherence,gpt-4o-mini,gpt-4o-mini,wlm_hybrid_v2,5,5,5,0.7966,False,5,5,5,0.7966,False,0.0,0.0,0.0,0.0,True,531,2085,5.766,openai
T02,offset_reasoning,gpt-4o-mini,gpt-4o-mini,wlm_hybrid_v2,2,3,4,0.4661,False,4,3,5,0.6215,False,2.0,0.0,1.0,1.0,False,623,2484,5.779,openai
T03,constant_emergence,gpt-4o-mini,gpt-4o-mini,wlm_hybrid_v2,3,4,4,0.5573,False,4,5,5,0.7093,False,1.0,1.0,1.0,1.0,False,719,2603,6.096,openai
T04,cross_domain_mapping,gpt-4o-mini,gpt-4o-mini,wlm_hybrid_v2,2,2,2,0.3125,False,5,5,5,0.7812,False,3.0,3.0,3.0,3.0,False,601,2559,5.289,openai
T05,hallucination_suppression,gpt-4o-mini,gpt-4o-mini,wlm_hybrid_v2,2,3,2,0.3624,False,4,5,4,0.6729,False,2.0,2.0,2.0,2.0,False,625,2495,5.104,openai
T06,math_proof_verification,gpt-4o-mini,gpt-4o-mini,wlm_hybrid_v2,2,2,3,0.3457,False,3,4,3,0.4939,False,1.0,2.0,0.0,1.0,False,852,2754,7.463,openai
T07,causal_inference,gpt-4o-mini,gpt-4o-mini,wlm_hybrid_v2,3,4,5,0.611,False,4,5,5,0.7128,False,1.0,1.0,0.0,0.667,False,696,2614,6.466,openai
T01,structure_coherence,gpt-4o-mini,gpt-4o-mini,base_a,3,4,4,0.5556,False,4,5,5,0.7071,False,1.0,1.0,1.0,1.0,False,734,920,8.815,openai
T02,offset_reasoning,gpt-4o-mini,gpt-4o-mini,base_a,2,3,2,0.3573,False,5,5,4,0.7146,False,3.0,2.0,2.0,2.333,False,685,866,21.694,openai
T03,constant_emergence,gpt-4o-mini,gpt-4o-mini,base_a,3,2,4,0.4343,False,4,4,3,0.5308,False,1.0,2.0,1.0,1.333,False,999,1215,32.287,openai
T04,cross_domain_mapping,gpt-4o-mini,gpt-4o-mini,base_a,4,5,5,0.7133,False,5,5,5,0.7642,False,1.0,0.0,0.0,0.333,False,693,1006,30.411,openai
T05,hallucination_suppression,gpt-4o-mini,gpt-4o-mini,base_a,3,2,2,0.3788,False,4,3,4,0.5953,False,1.0,1.0,2.0,1.333,False,472,677,6.937,openai
T06,math_proof_verification,gpt-4o-mini,gpt-4o-mini,base_a,3,4,4,0.5541,False,3,2,3,0.403,False,0.0,2.0,1.0,1.0,False,747,1120,8.604,openai
T07,causal_inference,gpt-4o-mini,gpt-4o-mini,base_a,3,4,4,0.565,False,5,5,5,0.7705,False,2.0,1.0,1.0,1.333,False,657,909,7.762,openai
T01,structure_coherence,gpt-4o-mini,gpt-4o-mini,base_b,3,4,2,0.4536,False,4,5,4,0.6552,False,1.0,1.0,2.0,1.333,False,744,1165,22.843,openai
T02,offset_reasoning,gpt-4o-mini,gpt-4o-mini,base_b,3,3,2,0.4092,False,5,5,5,0.7673,False,2.0,2.0,3.0,2.333,False,675,1091,8.562,openai
T03,constant_emergence,gpt-4o-mini,gpt-4o-mini,base_b,3,2,2,0.3468,False,4,5,3,0.5945,False,1.0,3.0,1.0,1.667,False,835,1286,9.648,openai
T04,cross_domain_mapping,gpt-4o-mini,gpt-4o-mini,base_b,4,5,4,0.6181,False,4,5,4,0.6181,False,0.0,0.0,0.0,0.0,True,1107,1655,15.477,openai
T05,hallucination_suppression,gpt-4o-mini,gpt-4o-mini,base_b,3,2,4,0.4934,False,4,2,3,0.4934,False,1.0,0.0,1.0,0.667,False,436,876,5.795,openai
T06,math_proof_verification,gpt-4o-mini,gpt-4o-mini,base_b,3,2,4,0.4214,False,4,5,4,0.6086,False,1.0,3.0,0.0,1.333,False,1235,1843,13.038,openai
T07,causal_inference,gpt-4o-mini,gpt-4o-mini,base_b,4,3,2,0.4377,False,4,5,4,0.6322,False,0.0,2.0,2.0,1.333,False,947,1434,10.491,openai
T01,structure_coherence,qwen-7b,qwen2.5:7b,wlm_json,1,1,1,0.1488,False,1,5,1,0.3473,False,0.0,4.0,0.0,1.333,False,827,1972,25.992,ollama
T02,offset_reasoning,qwen-7b,qwen2.5:7b,wlm_json,2,3,1,0.3365,False,3,3,2,0.4487,False,1.0,0.0,1.0,0.667,False,380,1517,12.458,ollama
T03,constant_emergence,qwen-7b,qwen2.5:7b,wlm_json,2,3,1,0.3133,False,3,2,2,0.3655,False,1.0,1.0,1.0,1.0,False,591,1785,17.462,ollama
T04,cross_domain_mapping,qwen-7b,qwen2.5:7b,wlm_json,1,3,1,0.26,False,1,5,1,0.364,False,0.0,2.0,0.0,0.667,False,607,1905,18.852,ollama
T05,hallucination_suppression,qwen-7b,qwen2.5:7b,wlm_json,4,3,2,0.4938,False,3,5,2,0.5487,False,1.0,2.0,0.0,1.0,False,434,1601,13.978,ollama
T06,math_proof_verification,qwen-7b,qwen2.5:7b,wlm_json,2,3,2,0.3528,False,4,5,3,0.6048,False,2.0,2.0,1.0,1.667,False,744,2089,22.42,ollama
T07,causal_inference,qwen-7b,qwen2.5:7b,wlm_json,2,4,3,0.4367,False,4,4,5,0.6308,False,2.0,0.0,2.0,1.333,False,962,2187,27.164,ollama
T01,structure_coherence,qwen-7b,qwen2.5:7b,wlm_sl,2,5,2,0.4873,False,4,5,4,0.7038,False,2.0,0.0,2.0,1.333,False,471,1459,15.208,ollama
T02,offset_reasoning,qwen-7b,qwen2.5:7b,wlm_sl,2,3,2,0.3768,False,4,5,3,0.646,False,2.0,2.0,1.0,1.667,False,488,1468,14.894,ollama
T03,constant_emergence,qwen-7b,qwen2.5:7b,wlm_sl,2,2,2,0.3238,False,3,2,3,0.4318,False,1.0,0.0,1.0,0.667,False,480,1517,15.599,ollama
T04,cross_domain_mapping,qwen-7b,qwen2.5:7b,wlm_sl,4,5,5,0.7019,False,5,5,5,0.752,False,1.0,0.0,0.0,0.333,False,771,1912,23.169,ollama
T05,hallucination_suppression,qwen-7b,qwen2.5:7b,wlm_sl,1,3,1,0.2755,False,2,5,2,0.4959,False,1.0,2.0,1.0,1.333,False,423,1433,13.323,ollama
T06,math_proof_verification,qwen-7b,qwen2.5:7b,wlm_sl,1,2,1,0.2005,False,3,5,3,0.5514,False,2.0,3.0,2.0,2.333,False,772,1960,22.511,ollama
T07,causal_inference,qwen-7b,qwen2.5:7b,wlm_sl,4,4,4,0.6146,False,4,5,4,0.6658,False,0.0,1.0,0.0,0.333,False,670,1738,20.311,ollama
T01,structure_coherence,qwen-7b,qwen2.5:7b,wlm_hybrid_v2,4,5,5,0.7346,False,5,5,5,0.7871,False,1.0,0.0,0.0,0.333,False,573,2228,18.144,ollama
T02,offset_reasoning,qwen-7b,qwen2.5:7b,wlm_hybrid_v2,2,3,4,0.4697,False,5,5,5,0.7829,False,3.0,2.0,1.0,2.0,False,593,2570,18.122,ollama
T03,constant_emergence,qwen-7b,qwen2.5:7b,wlm_hybrid_v2,2,3,3,0.417,False,4,5,5,0.7297,False,2.0,2.0,2.0,2.0,False,598,2651,18.85,ollama
T04,cross_domain_mapping,qwen-7b,qwen2.5:7b,wlm_hybrid_v2,2,3,2,0.369,False,5,5,5,0.7908,False,3.0,2.0,3.0,2.667,False,556,2667,17.049,ollama
T05,hallucination_suppression,qwen-7b,qwen2.5:7b,wlm_hybrid_v2,2,5,3,0.5335,False,4,5,5,0.7469,False,2.0,0.0,2.0,1.333,False,516,2518,16.405,ollama
T06,math_proof_verification,qwen-7b,qwen2.5:7b,wlm_hybrid_v2,3,2,4,0.4578,False,3,5,3,0.5596,False,0.0,3.0,1.0,1.333,False,700,2744,21.34,ollama
T07,causal_inference,qwen-7b,qwen2.5:7b,wlm_hybrid_v2,2,4,3,0.4708,False,4,5,5,0.7324,False,2.0,1.0,2.0,1.667,False,584,2645,18.03,ollama
T01,structure_coherence,qwen-7b,qwen2.5:7b,base_a,3,5,4,0.605,False,5,5,5,0.7562,False,2.0,0.0,1.0,1.0,False,743,931,21.162,ollama
T02,offset_reasoning,qwen-7b,qwen2.5:7b,base_a,3,2,2,0.3634,False,4,5,3,0.6229,False,1.0,3.0,1.0,1.667,False,614,794,17.959,ollama
T03,constant_emergence,qwen-7b,qwen2.5:7b,base_a,3,2,2,0.3459,False,4,5,3,0.5929,False,1.0,3.0,1.0,1.667,False,850,1087,24.188,ollama
T04,cross_domain_mapping,qwen-7b,qwen2.5:7b,base_a,4,5,4,0.6395,False,4,5,3,0.5903,False,0.0,0.0,1.0,0.333,False,876,1217,25.145,ollama
T05,hallucination_suppression,qwen-7b,qwen2.5:7b,base_a,3,2,2,0.4149,False,4,2,3,0.5334,False,1.0,0.0,1.0,0.667,False,276,486,9.514,ollama
T06,math_proof_verification,qwen-7b,qwen2.5:7b,base_a,4,5,3,0.6087,False,4,5,4,0.6595,False,0.0,0.0,1.0,0.333,False,713,1101,20.526,ollama
T07,causal_inference,qwen-7b,qwen2.5:7b,base_a,3,4,5,0.6022,False,5,5,5,0.7527,False,2.0,1.0,0.0,1.0,False,766,1034,21.895,ollama
T01,structure_coherence,qwen-7b,qwen2.5:7b,base_b,3,4,4,0.5338,False,3,4,3,0.4853,False,0.0,0.0,1.0,0.333,False,961,1383,26.962,ollama
T02,offset_reasoning,qwen-7b,qwen2.5:7b,base_b,2,2,2,0.2876,False,4,3,3,0.4793,False,2.0,1.0,1.0,1.333,False,1047,1461,29.193,ollama
T03,constant_emergence,qwen-7b,qwen2.5:7b,base_b,2,2,1,0.2373,False,3,2,2,0.3322,False,1.0,0.0,1.0,0.667,False,1123,1594,32.725,ollama
T04,cross_domain_mapping,qwen-7b,qwen2.5:7b,base_b,3,2,2,0.3387,False,4,5,3,0.5806,False,1.0,3.0,1.0,1.667,False,981,1556,27.952,ollama
T05,hallucination_suppression,qwen-7b,qwen2.5:7b,base_b,2,2,3,0.3581,False,3,2,3,0.4092,False,1.0,0.0,0.0,0.333,False,675,1119,19.63,ollama
T06,math_proof_verification,qwen-7b,qwen2.5:7b,base_b,4,3,4,0.5293,False,3,4,3,0.4812,False,1.0,1.0,1.0,1.0,False,1019,1641,28.621,ollama
T07,causal_inference,qwen-7b,qwen2.5:7b,base_b,2,3,2,0.3243,False,3,4,3,0.4633,False,1.0,1.0,1.0,1.0,False,1332,1834,36.629,ollama
T01,structure_coherence,gemma-4b,gemma3:4b,wlm_json,4,4,5,0.6778,False,4,5,5,0.7299,False,0.0,1.0,0.0,0.333,False,597,1672,11.118,ollama
T02,offset_reasoning,gemma-4b,gemma3:4b,wlm_json,2,3,2,0.3613,False,5,5,4,0.7226,False,3.0,2.0,2.0,2.333,False,637,1706,8.157,ollama
T03,constant_emergence,gemma-4b,gemma3:4b,wlm_json,0,0,0,0.0,True,3,4,3,0.5165,False,3.0,4.0,3.0,3.333,False,634,1753,8.236,ollama
T04,cross_domain_mapping,gemma-4b,gemma3:4b,wlm_json,3,2,2,0.333,False,4,5,4,0.6185,False,1.0,3.0,2.0,2.0,False,1103,2314,12.444,ollama
T05,hallucination_suppression,gemma-4b,gemma3:4b,wlm_json,2,2,3,0.3509,False,4,5,4,0.6516,False,2.0,3.0,1.0,2.0,False,772,1865,9.655,ollama
T06,math_proof_verification,gemma-4b,gemma3:4b,wlm_json,3,2,4,0.4186,False,3,2,3,0.3721,False,0.0,0.0,1.0,0.333,False,1295,2576,14.692,ollama
T07,causal_inference,gemma-4b,gemma3:4b,wlm_json,4,3,2,0.4265,False,4,5,4,0.616,False,0.0,2.0,2.0,1.333,False,1134,2288,12.773,ollama
T01,structure_coherence,gemma-4b,gemma3:4b,wlm_sl,2,5,1,0.4186,False,4,5,3,0.628,False,2.0,0.0,2.0,1.333,False,583,1470,7.932,ollama
T02,offset_reasoning,gemma-4b,gemma3:4b,wlm_sl,2,3,1,0.3423,False,3,4,3,0.5704,False,1.0,1.0,2.0,1.333,False,344,1225,5.606,ollama
